metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Cyano_Respiration_C_miligramsPerCubicMeterPerDay,Cyano_Resp_C,Water,Phytoplankton,Level2,Cyano_Respiration_C_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_cyano_rsp_c,1,GLM,mmol C/m3/d,12.01,
Cyano_Respiration_N_miligramsPerCubicMeterPerDay,Cyano_Resp_N,Water,Phytoplankton,Level2,Cyano_Respiration_N_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_cyano_rsp_n,1,GLM,mmol N/m3/d,14,
Cyano_Respiration_P_miligramsPerCubicMeterPerDay,Cyano_Resp_P,Water,Phytoplankton,Level2,Cyano_Respiration_P_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_cyano_rsp_p,1,GLM,mmol P/m3/d,30.97,
Cyano_Respiration_C_miligramsPerCubicMeterPerDay,Cyano_Resp_C,Water,Phytoplankton,Level2,Cyano_Respiration_C_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,cyanobacteria_wO2RespW,1,WET,g/m3/s,32427000,
Diatom_C_miligramsPerCubicMeter,Diatom_C,Water,Phytoplankton,Level1,Diatom_C_miligramsPerCubicMeter,miligramsPerCubicMeter,diatoms_sDW,1,WET,gDW/m3,450,
Diatom_C_miligramsPerCubicMeter,Diatom_C,Water,Phytoplankton,Level1,Diatom_C_miligramsPerCubicMeter,miligramsPerCubicMeter,PHY_diatom,1,GLM,mmol C/m3,12.01,
Diatom_C_miligramsPerCubicMeter,Diatom_C,Water,Phytoplankton,Level1,Diatom_C_miligramsPerCubicMeter,miligramsPerCubicMeter,diatoms_c,1,SELMAPROTBAS,mmol C/m3,12.01,
Diatom_Chla_miligramsPerCubicMeter,Diatom_Chla,Water,Phytoplankton,Level1,Diatom_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,diatoms_chla,1,SELMAPROTBAS,mg chl a/m3,1,
Diatom_Chla_miligramsPerCubicMeter,Diatom_Chla,Water,Phytoplankton,Level1,Diatom_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,diatoms_oChla,1,WET,mg/m3,1,
Diatom_Chla_miligramsPerCubicMeter,Diatom_Chla,Water,Phytoplankton,Level1,Diatom_Chla_miligramsPerCubicMeter,miligramsPerCubicMeter,PHY_diatom,1,GLM,mmol C/m3,0.3025,
Diatom_GPP_miligramsPerCubicMeterPerDay,Diatom_GPP,Water,Phytoplankton,Level3,Diatom_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,diatoms_GPP,1,SELMAPROTBAS,mmol/m3/d,12.01,
Diatom_GPP_miligramsPerCubicMeterPerDay,Diatom_GPP,Water,Phytoplankton,Level3,Diatom_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_diatom_gpp_c,1,GLM,mmol C/m3/d,12.01,
Diatom_GPP_miligramsPerCubicMeterPerDay,Diatom_GPP,Water,Phytoplankton,Level3,Diatom_GPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,diatoms_wO2Prod,1,WET,g/m3/s,32427000,
Diatom_NPP_miligramsPerCubicMeterPerDay,Diatom_NPP,Water,Phytoplankton,Level3,Diatom_NPP_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,diatoms_NPP,1,SELMAPROTBAS,mmol/m3/d,12.01,
Diatom_Respiration_C_miligramsPerCubicMeterPerDay,Diatom_Resp_C,Water,Phytoplankton,Level2,Diatom_Respiration_C_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_diatom_rsp_c,1,GLM,mmol C/m3/d,12.01,
Diatom_Respiration_C_miligramsPerCubicMeterPerDay,Diatom_Resp_C,Water,Phytoplankton,Level2,Diatom_Resp_C_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,diatoms_wO2RespW,1,WET,g/m3/s,32427000,
Diatom_Respiration_N_miligramsPerCubicMeterPerDay,Diatom_Resp_N,Water,Phytoplankton,Level2,Diatom_Respiration_N_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_diatom_rsp_n,1,GLM,mmol N/m3/d,14,
Diatom_Respiration_P_miligramsPerCubicMeterPerDay,Diatom_Resp_P,Water,Phytoplankton,Level2,Diatom_Respiration_P_miligramsPerCubicMeterPerDay,miligramsPerCubicMeterPerDay,PHY_diatom_rsp_p,1,GLM,mmol P/m3/d,30.97,
DIC_gramsPerCubicMeter,DIC,Water,Carbon,Level1,DIC_gramsPerCubicMeter,gramsPerCubicMeter,CAR_dic,1,GLM,mmol C/m3,0.01201,
DO_gramsPerCubicMeter,DO,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sO2W,1,WET,g/m3,1,
DO_gramsPerCubicMeter,DO,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_DO_mg,1,SELMAPROTBAS,mg O2/m**3,0.001,
DO_gramsPerCubicMeter,DO,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,OXY_oxy,1,GLM,mmol O2/m3,0.032,
DO_saturation%,DO_Sat,Water,Oxygen,Level1,DO_saturation%,%,abiotic_water_pO2Sat,1,WET,pct,,
DO_Temporal_Variability,DO_Temp_Var,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sO2W,1,WET,g/m3,1,cal_DO_exceedance
